"id_pedido,id_cliente,data_venda,produto,quantidade,preco ","","","","","","","","",""
"1001,C101,2024-01-15,Smartphone,1,999.99 ","","","","","","","","",""
"1002,C102,2024-01-16,Fones de ouvido,2,89.50 ","","","","","","","","",""
"1003,C103,2024-01-16,Laptop,1,1299.00 ","","","","","","","","",""
"1004,C104,2024-01-17,Mouse sem fio,3,29.99 ","","","","","","","","",""
"1005,C105,2024-01-18,Teclado mecânico,1,149.99 ","","","","","","","","",""
"1006,C101,2024-01-19,Carregador portátil,2,39.99 ","","","","","","","","",""
"1007,C106,2024-01-20,Monitor 24",1,249.99 ","","","","","","","","",""
"1008,C107,2024-01-20,Webcam HD,1,79.99 ","","","","","","","","",""
"1009,C108,2024-01-21,SSD 500GB,2,89.99 ","","","","","","","","",""
